================================================================================
TOKEN-TO-ID MAPPINGS
================================================================================
Vocabulary size: 1104

ID         Token                                              Frequency      
480        vcvtss2sd                                          305
481        aesdec                                             302
482        jnp                                                300
483        xmm18                                              300
484        cmpleps                                            295
485        pabsw                                              292
486        vpackuswb                                          290
487        zmm10                                              285
488        vsubss                                             283
489        vblendvpd                                          281
490        zmm28                                              281
491        pmaxub                                             280
492        sha1nexte                                          280
493        vpgatherdd                                         277
494        vperm2i128                                         275
495        zmm14                                              273
496        zmm11                                              272
497        sqrtss                                             269
498        vaddsd                                             268
499        vpermq                                             268
500        psubsw                                             266
501        s2                                                 266
502        xmm20                                              266
503        k0                                                 265
504        pmulld                                             261
505        setp                                               260
506        sha1rnds4                                          259
507        vpminsw                                            258
508        movmskps                                           255
509        vcvtsd2ss                                          255
510        xmm16                                              253
511        n                                                  252
512        dest                                               251
513        xmm19                                              249
514        syscall                                            247
515        cmpnlepd                                           246
516        pcmpeqw                                            246
517        pcmpgtw                                            245
518        maxps                                              244
519        phaddd                                             242
520        vaddss                                             240
521        cpuid                                              238
522        vinsertps                                          234
523        vmovupd                                            234
524        vcmpltps                                           233
525        vpmaxsw                                            223
526        psubq                                              220
527        vfmadd213sd                                        218
528        vpsadbw                                            218
529        sha1msg1                                           215
530        phaddw                                             213
531        vcmpltpd                                           213
532        vshufps                                            213
533        rcpps                                              212
534        vpblendvb                                          212
535        pinsrd                                             209
536        vsubps                                             209
537        sha1msg2                                           207
538        in                                                 203
539        mfence                                             198
540        pminub                                             198
541        vpmaxub                                            195
542        cmplesd                                            191
543        paddusb                                            189
544        vpmovzxbw                                          186
545        jo                                                 177
546        xmm22                                              175
547        vpblendw                                           174
548        vpcmpeqd                                           173
549        kmovd                                              169
550        movshdup                                           169
551        shlx                                               165
552        vpsllq                                             163
553        sha256msg2                                         160
554        vpminub                                            160
555        vbroadcastss                                       158
556        vaesenc                                            156
557        vmovdqu64                                          154
558        vphaddd                                            154
559        vinserti32x4                                       153
560        vpextrb                                            152
561        sha256msg1                                         150
562        vcvttss2si                                         144
563        vdivss                                             142
564        vsubpd                                             140
565        vmovlps                                            139
566        fldcw                                              138
567        int                                                138
568        jno                                                133
569        vpaddb                                             133
570        vpmaxuw                                            133
571        vmaxps                                             132
572        kmovw                                              129
573        vaddpd                                             129
574        vpermilps                                          129
575        vucomisd                                           128
576        vpextrd                                            126
577        pminsd                                             123
578        rdtsc                                              123
579        vminps                                             123
580        fild                                               122
581        flags                                              122
582        movmskpd                                           120
583        vcvtdq2ps                                          120
584        vucomiss                                           118
585        pavgw                                              117
586        vpsrldq                                            117
587        movddup                                            116
588        vdivsd                                             116
589        pmaxsd                                             115
590        ss                                                 113
591        vpminuw                                            113
592        bts                                                112
593        vpxorq                                             112
594        vcvtps2dq                                          110
595        vshufi32x4                                         110
596        vpextrq                                            104
597        aesenclast                                         103
598        vbroadcasti128                                     103
599        vcvtsi2sd                                          102
600        fldz                                               101
601        large                                              101
602        vroundsd                                           101
603        cvtps2dq                                           100
604        vcmpltss                                           100
605        cmpunordsd                                         99
606        fxch                                               98
607        vxorpd                                             98
608        vfmadd231ps                                        97
609        vpandq                                             96
610        cmpnlesd                                           95
611        shrx                                               95
612        vinserti64x4                                       95
613        ymm21                                              95
614        sfence                                             94
615        ymm17                                              94
616        long_length                                        93
617        vmovntdqa                                          93
618        vpmullw                                            91
619        ymm20                                              91
620        vpsubb                                             89
621        vpmovzxdq                                          88
622        vpcmpgtb                                           87
623        pshufw                                             86
624        vprolq                                             86
625        vpsravd                                            86
626        vextracti32x4                                      85
627        vpcmpeqb                                           85
628        format                                             84
629        vpmovzxwd                                          84
630        vpternlogd                                         84
631        andn                                               83
632        maxlen                                             83
633        ymm18                                              83
634        vpslldq                                            82
635        pblendw                                            80
636        vpcmpgtd                                           80
637        vpmadd52luq                                        79
638        ymm16                                              78
639        cmpeqsd                                            77
640        cmpnleps                                           76
641        status                                             76
642        k2                                                 75
643        vpavgw                                             75
644        aeskeygenassist                                    74
645        vpandd                                             74
646        vfnmadd213ps                                       73
647        vmovdqu32                                          73
648        data_len                                           72
649        vbroadcastf128                                     72
650        stream                                             71
651        vpmullq                                            71
652        vpbroadcastw                                       70
653        vpsignb                                            70
654        esp                                                69
655        fistp                                              69
656        minpd                                              68
657        faddp                                              67
658        vpbroadcastb                                       67
659        vpsllw                                             67
660        prefetchnta                                        66
661        fnstcw                                             65
662        vfmadd213ps                                        65
663        cmpless                                            64
664        vpackusdw                                          64
665        vpermd                                             63
666        fsubrp                                             61
667        vphaddw                                            61
668        ymm19                                              60
669        paddsb                                             59
670        psignw                                             59
671        vpshuflw                                           59
672        vroundps                                           59
673        prefetcht1                                         58
674        movdq2q                                            57
675        ymm25                                              57
676        k3                                                 55
677        vfnmadd213pd                                       55
678        vpacksswb                                          55
679        vpsignw                                            55
680        vpsubusw                                           55
681        vcmpltsd                                           54
682        maxpd                                              52
683        vpavgb                                             52
684        vpshrdd                                            52
685        vpmuldq                                            51
686        vpord                                              51
687        vroundpd                                           51
688        kxnorw                                             50
689        paddusw                                            50
690        vmovddup                                           50
691        vmovlpd                                            50
692        vpcmpeqq                                           50
693        3                                                  49
694        vpmultishiftqb                                     49
695        vgf2p8affineqb                                     48
696        vmulpd                                             48
697        vpexpandd                                          48
698        ymm22                                              48
699        fmulp                                              47
700        vpdpbusd                                           47
701        vpmulhw                                            47
702        pblendvb                                           46
703        vunpcklpd                                          46
704        cmpnless                                           45
705        vmovdqu8                                           45
706        cmpnltpd                                           44
707        k4                                                 44
708        kmovq                                              44
709        vpaddsb                                            44
710        vpsubsb                                            44
711        cmovp                                              43
712        vinsertf128                                        43
713        vpcmpeqw                                           43
714        vpcmpgtw                                           43
715        ymm24                                              43
716        cmpunordpd                                         42
717        fucomi                                             42
718        mpsadbw                                            42
719        cmpeqpd                                            41
720        vinserti32x8                                       41
721        vpaddusb                                           41
722        vpmovsxbw                                          41
723        vpmovzxwq                                          41
724        y                                                  41
725        ai                                                 40
726        argv                                               40
727        vblendpd                                           40
728        vpternlogq                                         40
729        aesdeclast                                         39
730        cmpunordss                                         39
731        cmpneqpd                                           38
732        sqrtps                                             38
733        vbroadcasti32x4                                    38
734        fcmovnb                                            37
735        cmpneqsd                                           36
736        vpcmpneqd                                          36
737        width                                              36
738        cmovno                                             35
739        fmul                                               35
740        vpcmpub                                            35
741        vpcmpw                                             35
742        vpaddusw                                           34
743        vpmovzxbd                                          34
744        ymm26                                              34
745        movbe                                              32
746        movsldup                                           32
747        pabsd                                              32
748        vcvttps2dq                                         32
749        vperm2f128                                         32
750        cmpunordps                                         31
751        fucomip                                            31
752        kmovb                                              31
753        movsb                                              31
754        sqrtpd                                             31
755        vpmovmskb                                          31
756        error_code                                         30
757        filename                                           30
758        leave                                              30
759        popcnt                                             30
760        vbroadcastsd                                       30
761        vpextrw                                            30
762        lfence                                             29
763        vandps                                             29
764        vshufpd                                            29
765        ymm23                                              29
766        how                                                28
767        psubsb                                             28
768        roundsd                                            28
769        ymm27                                              28
770        movdir64b                                          27
771        vblendps                                           27
772        vfnmadd213ss                                       27
773        ymm29                                              27
774        ymm30                                              27
775        bsf                                                26
776        fd                                                 26
777        vaesenclast                                        26
778        vpmulhuw                                           26
779        vroundss                                           26
780        k5                                                 25
781        lpsrc                                              25
782        vpblendmb                                          25
783        vptestmd                                           25
784        haddps                                             24
785        vpsubq                                             24
786        emms                                               23
787        file                                               23
788        vpperm                                             23
789        vunpckhpd                                          23
790        ymm31                                              23
791        fadd                                               22
792        fdivp                                              22
793        vcmpeqps                                           22
794        vcmpeqsd                                           22
795        vfnmadd213sd                                       22
796        vgatherdps                                         22
797        vptestmb                                           22
798        k6                                                 21
799        psignb                                             21
800        xmm25                                              21
801        cmpneqps                                           20
802        stosq                                              20
803        ud2                                                20
804        vandnpd                                            20
805        vandnps                                            20
806        vcmpeqss                                           20
807        vpmaskmovq                                         20
808        vpmovqd                                            20
809        vpshufhw                                           20
810        vshufi64x2                                         20
811        vsqrtps                                            20
812        ymm28                                              20
813        fisttp                                             19
814        pmaxuw                                             19
815        vandpd                                             19
816        vcmpneqpd                                          19
817        vpmovm2d                                           19
818        .                                                  18
819        cmpeqps                                            18
820        jpt_2048C8                                         18
821        movq2dq                                            18
822        vmaskmovps                                         18
823        cmpordsd                                           17
824        height                                             17
825        vfmadd132ps                                        17
826        vpermb                                             17
827        vpgatherdq                                         17
