================================================================================
TOKEN-TO-ID MAPPINGS
================================================================================
Vocabulary size: 1157

ID         Token                                              Frequency      
412        r13w                                               251
413        pattern                                            250
414        cvtdq2pd                                           248
415        xmm18                                              246
416        psrad                                              244
417        addr_len                                           243
418        cmpltss                                            243
419        zmm18                                              241
420        ai                                                 238
421        data                                               236
422        resolved                                           235
423        syscall                                            233
424        outbytesleft                                       232
425        colormap                                           231
426        optlen                                             230
427        vpxor                                              230
428        cvttpd2dq                                          229
429        value                                              228
430        save_ptr                                           227
431        inbytesleft                                        226
432        xmm19                                              226
433        divps                                              223
434        uid                                                223
435        vinserti128                                        223
436        env                                                222
437        st                                                 222
438        maxsd                                              221
439        cmpltps                                            218
440        xmm17                                              217
441        minsd                                              215
442        minss                                              215
443        vpshufb                                            215
444        minps                                              214
445        vcvttsd2si                                         212
446        R                                                  210
447        vxorps                                             209
448        namelist                                           203
449        command                                            202
450        psllq                                              202
451        sa_flags                                           202
452        vmovups                                            201
453        mode                                               200
454        outbuf                                             199
455        setns                                              195
456        key                                                194
457        sqrtss                                             194
458        k0                                                 193
459        shld                                               193
460        vpsrld                                             193
461        xmm16                                              193
462        sequence                                           192
463        bsr                                                190
464        cpuid                                              190
465        fstp                                               190
466        zmmword                                            186
467        buffer                                             184
468        vmovdqa32                                          183
469        memptr                                             182
470        pclmulqdq                                          182
471        vpunpckldq                                         182
472        cmpltsd                                            177
473        length                                             174
474        exceptfds                                          173
475        k1                                                 172
476        whence                                             171
477        result                                             170
478        vpunpckhdq                                         170
479        netlong                                            166
480        newthread                                          165
481        pmullw                                             165
482        vpsraw                                             165
483        events                                             162
484        sqrtsd                                             162
485        inbuf                                              160
486        movhlps                                            156
487        divpd                                              153
488        rcpps                                              153
489        abstime                                            152
490        jo                                                 151
491        screen                                             151
492        delim                                              149
493        preg                                               149
494        service                                            149
495        overflow_arg_area                                  148
496        punpckhqdq                                         148
497        vinsertps                                          148
498        reg_save_area                                      147
499        vpaddd                                             147
500        seconds                                            146
501        vpdpwssd                                           144
502        mfence                                             142
503        visual                                             139
504        dev                                                137
505        vpmaddubsw                                         135
506        aesenc                                             134
507        attr                                               134
508        psubd                                              134
509        sa                                                 134
510        punpckhdq                                          133
511        vsubsd                                             132
512        c_cflag                                            131
513        pmulhuw                                            131
514        vpgatherdd                                         131
515        cookie                                             129
516        line_width                                         129
517        ror                                                129
518        dli_fname                                          128
519        paddb                                              128
520        setp                                               128
521        xmm22                                              128
522        movmskps                                           127
523        fld                                                126
524        vaddsd                                             124
525        locale                                             123
526        st_dev                                             120
527        pcmpgtb                                            119
528        revents                                            118
529        ss                                                 118
530        in                                                 115
531        int                                                115
532        old                                                115
533        movhps                                             114
534        zmm17                                              114
535        rwlock                                             113
536        vmulss                                             113
537        kmovd                                              112
538        movhpd                                             112
539        pmatch                                             112
540        signo                                              112
541        unpckhps                                           112
542        from                                               111
543        resultbuf                                          110
544        window                                             109
545        count                                              108
546        gid                                                108
547        wc                                                 108
548        background                                         107
549        __val                                              106
550        drawable                                           106
551        pointer                                            106
552        pshufb                                             106
553        seed                                               106
554        e                                                  104
555        flag                                               104
556        jno                                                104
557        prefetcht0                                         104
558        cmd                                                103
559        blue                                               102
560        depth                                              102
561        pos                                                102
562        vpunpckhqdq                                        102
563        vpxorq                                             100
564        green                                              99
565        tz                                                 98
566        mm7                                                97
567        psubq                                              95
568        useconds                                           95
569        dir                                                94
570        domainname                                         94
571        sa_family                                          94
572        type                                               94
573        msg_name                                           93
574        sa_mask                                            92
575        alignment                                          90
576        rdtsc                                              90
577        vpand                                              89
578        host                                               88
579        pinsrw                                             88
580        vextracti128                                       88
581        vpbroadcastd                                       88
582        pglob                                              87
583        vucomiss                                           87
584        iovec                                              86
585        val                                                86
586        vucomisd                                           86
587        zmm3                                               86
588        special_file                                       85
589        cond                                               84
590        ifap                                               84
591        exponent                                           82
592        msg_iov                                            82
593        vpshufd                                            82
594        pmaddubsw                                          81
595        esp                                                80
596        msg_iovlen                                         80
597        rem                                                80
598        vmovntdqa                                          80
599        vpblendd                                           79
600        vdivss                                             78
601        Bytes                                              77
602        vpmadd52luq                                        77
603        bts                                                74
604        vprolq                                             74
605        vpunpcklwd                                         74
606        mask                                               73
607        th                                                 73
608        kmovw                                              72
609        st_mtim                                            72
610        state                                              72
611        vmovhps                                            72
612        vpandd                                             72
613        vpunpckhwd                                         72
614        aesenclast                                         71
615        cmpnleps                                           71
616        vcvtsi2ss                                          71
617        vpsrad                                             71
618        ai_socktype                                        70
619        msg_controllen                                     70
620        msg_control                                        69
621        rlimits                                            69
622        vpandq                                             68
623        pc32                                               67
624        tm_min                                             67
625        tm_sec                                             67
626        vpmullq                                            67
627        prefetchnta                                        66
628        oset                                               65
629        epfd                                               64
630        p                                                  64
631        pixel                                              64
632        red                                                64
633        ymm11                                              64
634        msg_namelen                                        63
635        vmovdqu64                                          63
636        fldz                                               62
637        vroundsd                                           62
638        zmm16                                              61
639        buflen                                             60
640        input                                              59
641        request                                            59
642        vmulsd                                             59
643        vpunpcklbw                                         59
644        bufloc                                             58
645        usage                                              58
646        fldcw                                              57
647        packsswb                                           57
648        facility                                           56
649        vpaddsw                                            56
650        vpslld                                             56
651        vpsubsw                                            56
652        mm6                                                55
653        sa_restorer                                        55
654        sops                                               55
655        tm_hour                                            55
656        ymm8                                               55
657        domain                                             54
658        msg_flags                                          54
659        salen                                              54
660        fd2                                                53
661        long_length                                        53
662        vpackssdw                                          53
663        cd                                                 52
664        maxps                                              52
665        display                                            51
666        event                                              51
667        mm0                                                51
668        protocol                                           51
669        sizeloc                                            51
670        cmpltpd                                            50
671        pwcs                                               50
672        rm_eo                                              50
673        accept                                             49
674        cosx                                               49
675        inp                                                49
676        item                                               49
677        serv                                               49
678        vpmovzxwd                                          49
679        ai_flags                                           47
680        pcmpeqw                                            47
681        pwc                                                47
682        to                                                 47
683        vpshrdd                                            47
684        mm3                                                46
685        s_addr                                             46
686        sfence                                             45
687        ymm10                                              45
688        cap_style                                          44
689        mm5                                                44
690        ai_family                                          43
691        function                                           43
692        sinx                                               43
693        vpexpandd                                          43
694        mm4                                                42
695        movmskpd                                           42
696        file_times                                         41
697        has_arg                                            41
698        kxnorw                                             41
699        paddsw                                             41
700        sa_data                                            41
701        speed                                              41
702        vshufps                                            41
703        argz                                               40
704        group                                              40
705        it_value                                           40
706        tm_mon                                             40
707        vinserti64x4                                       40
708        iptr                                               39
709        mm2                                                39
710        visualid                                           39
711        vmaxps                                             39
712        block                                              38
713        entry                                              38
714        obstack                                            38
715        tm_year                                            37
716        vmovapd                                            37
717        ymm9                                               37
718        it_interval                                        36
719        mnt                                                36
720        vpsubd                                             36
721        owner                                              35
722        sem_flg                                            35
723        vpor                                               35
724        data_len                                           34
725        handler                                            34
726        vinserti32x4                                       34
727        c_iflag                                            33
728        fild                                               33
729        vpcmpneqd                                          33
730        dirname                                            32
731        fromcode                                           32
732        property                                           32
733        pw_name                                            32
734        text_prop                                          32
735        vcvttps2dq                                         32
736        vminps                                             32
737        vpcmpgtd                                           32
738        vpsrlw                                             32
739        fsubrp                                             31
740        fxch                                               31
741        movdir64b                                          31
742        psubusw                                            31
743        vcvttss2si                                         31
744        vpsrlq                                             31
745        __varargs                                          30
746        ifname                                             30
747        vaddss                                             30
748        fistp                                              29
749        oldmask                                            29
750        shufpd                                             29
751        st_rdev                                            29
752        st_uid                                             29
753        vpabsw                                             29
754        vxorpd                                             29
755        cid                                                28
756        event_mask                                         28
757        vpcmpeqd                                           28
758        vpextrq                                            28
759        c_lflag                                            27
760        dst                                                27
761        option                                             27
762        vpaddb                                             27
763        vpmaddwd                                           27
764        vpmovqd                                            27
765        fucomi                                             26
766        lfence                                             26
767        st_ino                                             26
768        cmpnlesd                                           25
769        gl_pathv                                           25
770        numer                                              25
771        screenp                                            25
772        st_gid                                             25
773        vaddps                                             25
774        zmm22                                              25
775        prot                                               24
776        proto                                              24
777        psubb                                              24
778        ru_utime                                           24
779        rwflag                                             24
780        text_prop_return                                   24
781        vmulps                                             24
782        vpsignb                                            24
783        gl_pathc                                           23
784        ident                                              23
785        join_style                                         23
786        msgp                                               23
787        pathname                                           23
788        pcmpgtw                                            23
789        special                                            23
790        zmm21                                              23
791        fcmovnb                                            22
792        param                                              22
793        pixmap                                             22
794        typ_                                               22
795        utmr                                               22
796        vpblendvb                                          22
797        vpcmpgtb                                           22
798        vpmovzxbd                                          22
799        ymm13                                              22
800        cmpeqsd                                            21
801        fnstcw                                             21
802        id                                                 21
803        list                                               21
804        mm1                                                21
805        msqid                                              21
806        ngroups                                            21
807        op                                                 21
808        optionp                                            21
809        optname                                            21
810        rlim_cur                                           21
811        tm_mday                                            21
812        value_list                                         21
813        argz_len                                           20
814        cmpnless                                           20
815        fstype                                             20
816        keyboard_mode                                      20
817        shrd                                               20
818        vpandn                                             20
819        vshufi64x2                                         20
820        zmm20                                              20
821        zmm23                                              20
822        border_pixel                                       19
823        c_class                                            19
824        leave                                              19
825        level                                              19
826        pavgw                                              19
827        range                                              19
828        rm_so                                              19
829        thread_return                                      19
830        vmovdqu32                                          19
831        your_event_mask                                    19
832        background_pixel                                   18
833        border_width                                       18
834        ifindex                                            18
835        jpt_207264                                         18
836        jpt_3371                                           18
837        maxsize                                            18
838        ru_stime                                           18
839        user                                               18
840        valuep                                             18
841        vpacksswb                                          18
842        jpt_2048C8                                         17
843        modtime                                            17
844        plane_mask                                         17
845        pwordexp                                           17
846        compar                                             16
847        jpt_203A4C                                         16
848        psadbw                                             16
849        roundsd                                            16
850        sem                                                16
851        vpternlogd                                         16
852        zmm19                                              16
853        ai_protocol                                        15
854        array                                              15
855        fildes                                             15
856        groups                                             15
857        jpt_2044C6                                         15
858        jpt_43A5                                           15
859        movddup                                            15
860        pblendvb                                           15
861        value_mask                                         15
862        vpackusdw                                          15
863        vpcmpw                                             15
864        vpmovzxwq                                          15
865        actime                                             14
866        detachstate                                        14
867        grab_window                                        14
868        minpd                                              14
869        times                                              14
870        tocode                                             14
871        vgf2p8affineqb                                     14
872        vpermd                                             14
873        faddp                                              13
874        iov_base                                           13
875        large                                              13
876        map_state                                          13
877        st_blksize                                         13
878        __sched_priority                                   12
879        category                                           12
880        clock_id                                           12
881        cmplesd                                            12
882        cmpless                                            12
883        cmpunordss                                         12
884        emms                                               12
885        encoding                                           12
886        fisttp                                             12
887        governor                                           12
888        iov_len                                            12
889        jpt_330F                                           12
890        jpt_5EA4                                           12
891        mhdr                                               12
892        pabsw                                              12
893        tm_zone                                            12
894        vcmpeqps                                           12
895        vcvtsd2ss                                          12
896        vgatherdps                                         12
897        vpextrw                                            12
898        x1                                                 12
899        bsf                                                11
900        cflags                                             11
901        cursor                                             11
902        egid                                               11
903        errbuf                                             11
904        fore_red                                           11
905        gc                                                 11
906        jpt_20AA48                                         11
907        maxpd                                              11
908        minor                                              11
909        movsb                                              11
910        msgid1                                             11
911        seedval                                            11
912        sigmask                                            11
913        style                                              11
914        tofd                                               11
915        vbroadcastf128                                     11
916        vcvtss2sd                                          11
917        vpackuswb                                          11
918        vpmulld                                            11
919        who                                                11
920        fmulp                                              10
921        hostlen                                            10
922        jpt_2051B8                                         10
923        release                                            10
924        res_class                                          10
925        rsqrtps                                            10
926        euid                                               9
927        funcs_4866                                         9
928        index                                              9
929        jpt_2060FC                                         9
930        jpt_4FE0                                           9
931        kmovb                                              9
932        list_return                                        9
933        pmovsxwq                                           9
934        result_buf                                         9
935        rlim_max                                           9
936        ruid                                               9
937        stosq                                              9
938        suid                                               9
939        vprord                                             9
940        wcs                                                9
941        x2                                                 9
942        ymm15                                              9
943        c_oflag                                            8
944        cmpunordps                                         8
945        cmpunordsd                                         8
946        how                                                8
947        jpt_204972                                         8
948        jpt_206C18                                         8
949        jpt_37AB                                           8
950        pgid                                               8
951        pmuldq                                             8
952        prefetcht1                                         8
953        stacksize                                          8
954        vdivsd                                             8
955        vextracti32x4                                      8
956        vinsertf128                                        8
957        vpscatterdq                                        8
958        __pos                                              7
959        back_green                                         7
960        brk                                                7
961        cmpnltsd                                           7
962        first                                              7
963        fld1                                               7
964        h_errnop                                           7
965        jpt_2040B7                                         7
966        jpt_208D86                                         7
967        jpt_2A8514                                         7
968        jpt_504C9                                          7
969        major                                              7
970        min_width                                          7
971        msgflg                                             7
972        msgsz                                              7
973        parent                                             7
974        pgrp                                               7
975        pmulhw                                             7
976        port                                               7
977        prio                                               7
978        salt                                               7
979        sqrtps                                             7
980        st_atim                                            7
981        st_nlink                                           7
982        stipple                                            7
983        time                                               7
984        tm_isdst                                           7
985        vbroadcasti32x4                                    7
986        vpgatherdq                                         7
987        vpmacsww                                           7
988        we_wordv                                           7
989        ymm12                                              7
990        advise                                             6
991        bitmap_pad                                         6
992        cmovno                                             6
993        fadd                                               6
994        fill_style                                         6
995        funcs_2D0A                                         6
996        jpt_202638                                         6
997        jpt_204C57                                         6
998        jpt_20B40C                                         6
999        jpt_21C8                                           6
1000       jpt_26F19                                          6
1001       loadavg                                            6
1002       lodsd                                              6
1003       min_height                                         6
1004       movbe                                              6
1005       once_control                                       6
1006       opt                                                6
1007       options                                            6
1008       override_redirect                                  6
1009       pinsrd                                             6
1010       popcnt                                             6
1011       pw_uid                                             6
1012       rounding_direction                                 6
1013       shmid                                              6
1014       start_routine                                      6
1015       timerid                                            6
1016       ud1                                                6
1017       vcvtsi2sd                                          6
1018       xgetbv                                             6
1019       bitmap_bit_order                                   5
1020       bitmap_unit                                        5
1021       bytes_per_line                                     5
1022       cmovp                                              5
1023       cmpneqsd                                           5
1024       init_routine                                       5
1025       jpt_207F58                                         5
1026       jpt_20B296                                         5
1027       jpt_258A42                                         5
1028       mutexattr                                          5
1029       nitems                                             5
1030       ps                                                 5
1031       res_name                                           5
1032       segments                                           5
1033       sqrtpd                                             5
1034       str                                                5
1035       sval                                               5
1036       threadid                                           5
1037       time0                                              5
1038       ud2                                                5
1039       vfmadd213ss                                        5
1040       vmovdqu16                                          5
1041       vpcmpeqb                                           5
1042       wid                                                5
1043       aesimc                                             4
1044       ai_addr                                            4
1045       btr                                                4
1046       byte_order                                         4
1047       cld                                                4
1048       count_return                                       4
1049       cursors                                            4
1050       cursors_len                                        4
1051       denom                                              4
1052       displayname                                        4
1053       dword_0                                            4
1054       fdout                                              4
1055       funcs_3115                                         4
1056       height_inc                                         4
1057       infop                                              4
1058       jpt_202884                                         4
1059       jpt_202DAC                                         4
1060       jpt_202E40                                         4
1061       jpt_203BEF                                         4
1062       jpt_206043                                         4
1063       jpt_2077BD                                         4
1064       jpt_20E33C                                         4
1065       loc                                                4
1066       reject                                             4
1067       same_screen                                        4
1068       sem_num                                            4
1069       sem_op                                             4
1070       st_ctim                                            4
1071       subwindow                                          4
1072       target_frequency                                   4
1073       utmpx                                              4
1074       vfmadd213sd                                        4
1075       vpcmpuw                                            4
1076       vpmovmskb                                          4
1077       x_root                                             4
1078       xmm25                                              4
1079       ymm14                                              4
1080       ymm16                                              4
1081       zmm24                                              4
1082       amaster                                            3
1083       atom                                               3
1084       cmplepd                                            3
1085       cmpneqpd                                           3
1086       confine_to                                         3
1087       cpuset                                             3
1088       destr_function                                     3
1089       f_frsize                                           3
1090       f_namelen                                          3
1091       fcmovbe                                            3
1092       fdin                                               3
1093       fsubp                                              3
1094       fucomip                                            3
1095       funcs_3020                                         3
1096       jpt_202C1A                                         3
1097       jpt_202F18                                         3
1098       jpt_2032A0                                         3
1099       jpt_203C78                                         3
1100       jpt_207023                                         3
1101       jpt_2088B7                                         3
1102       jpt_209385                                         3
1103       k2                                                 3
1104       l                                                  3
1105       msgtyp                                             3
1106       newmask                                            3
1107       nmatch                                             3
1108       obj                                                3
1109       oldstate                                           3
1110       outlen                                             3
1111       pabsd                                              3
1112       psignd                                             3
1113       psubsw                                             3
1114       root                                               3
1115       shmaddr                                            3
1116       vpmovsxbq                                          3
1117       vpsllq                                             3
1118       y1                                                 3
1119       _counts                                            2
1120       all_event_masks                                    2
1121       bits_per_pixel                                     2
1122       crtc                                               2
1123       dbg                                                2
1124       destination                                        2
1125       envp                                               2
1126       error_code                                         2
1127       evp                                                2
1128       f_bfree                                            2
1129       f_type                                             2
1130       funcs_202EA6                                       2
1131       gl_offs                                            2
1132       jpt_20250A                                         2
1133       jpt_20325B                                         2
1134       jpt_2050C8                                         2
1135       jpt_20F276                                         2
1136       keycode                                            2
1137       lodsb                                              2
1138       mnt_freq                                           2
1139       mnt_passno                                         2
1140       msgid2                                             2
1141       output                                             2
1142       pgrp_id                                            2
1143       procs                                              2
1144       pshared                                            2
1145       pw_passwd                                          2
1146       rgid                                               2
1147       sgid                                               2
1148       src_window                                         2
1149       t                                                  2
1150       tvp                                                2
1151       vpermq                                             2
1152       vpsubb                                             2
1153       width_inc                                          2
1154       words                                              2
1155       y2                                                 2
1156       y_root                                             2
